date | value
2022-02-06 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 |
2012-01-11 | 2147483648
2012-01-11 | blablabla
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42 
2001-02-01 | 3
2001-42-42 |
2001-42-42 | a
2011-02-12 | a  <---
2002-01-11 | 1.
2012-01-11 | 1.
2012-01-11 | 2147483648234234234255624525255

2002-01-01 | 1
2011-08-32 | 2
2011-18-03 | 2
2011/18/03 | 2
abc/18/03 | 2
2011-01-03 | 0
2011-01-03 | 1000.01
2011-01-03 | 100000
2011-01-03 | 100. abdhfdu

2011-01-03 | 2
2011-01-03 | 2    						

2011-01-03 | 2.5.5
2011-01-03 | 2.5 sada
2011-01-03 | 2.5,6
2011-01-03 | 2,6
2011-01-03 | 2,6adsf
